,endTime,artistName,trackName,msPlayed,count
2094,2022-04-21 17:50,Wizkid,Essence (feat. Tems),9570,1
2095,2022-04-21 17:50,SiR,You Can't Save Me,45490,1
2096,2022-04-21 17:58,Bobby Caldwell,What You Won't Do for Love,448070,1
2097,2022-04-21 18:02,The Teskey Brothers,Pain and Misery,222730,1
2098,2022-04-21 18:06,Lady Gaga,Telephone,29173,1
2099,2022-04-21 18:06,Sadie Jean,WYD Now?,1520,1
2100,2022-04-21 18:06,Lake Street Dive,I Want You Back,259266,1
2101,2022-04-21 18:06,Pinegrove,The Alarmist,1410,1
2102,2022-04-21 18:09,MEDUZA,Lose Control,168387,1
2103,2022-04-21 18:10,Summer Walker,Session 32,25482,1
2104,2022-04-21 18:13,Michael McDonald,I Keep Forgettin' (Every Time You're Near),1600,1
2105,2022-04-21 18:13,Bobby Caldwell,What You Won't Do for Love,216380,1
2106,2022-04-21 18:14,Mavis Staples,The Weight - Live,36350,1
2107,2022-04-21 18:17,Post Malone,One Right Now (with The Weeknd),193506,1
2108,2022-04-21 18:18,The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,35633,1
2109,2022-04-21 18:18,The Weeknd,Sacrifice,28620,1
2110,2022-04-21 18:18,Swedish House Mafia,Moth To A Flame (with The Weeknd),2790,1
2111,2022-04-21 18:20,Otis Kane,Free,118900,1
2112,2022-04-21 18:22,Monophonics,Love You Better,81920,1
2113,2022-04-21 18:25,Allen Stone,More To Learn,4908,1
2114,2022-04-21 18:25,The Dip,Atlas,218226,1
2115,2022-04-21 18:29,Allen Stone,More To Learn,9398,1
2116,2022-04-21 18:29,The Dip,Atlas,218226,1
2117,2022-04-21 18:30,Joey Dosik,Don’t Want It to Be Over (ft. Coco O.),37790,1
2118,2022-04-21 18:30,St. Paul & The Broken Bones,Call Me,13490,1
2119,2022-04-21 18:34,St. Paul & The Broken Bones,Sugar Dyed,38380,1
2120,2022-04-21 18:34,St. Paul & The Broken Bones,Broken Bones and Pocket Change,222780,1
2121,2022-04-21 18:37,The Marcus King Band,Rita Is Gone,171880,1
2122,2022-04-21 18:37,The Marcus King Band,Goodbye Carolina - Extended Version,14820,1
2123,2022-04-21 18:37,The Marcus King Band,Goodbye Carolina,850,1
2124,2022-04-21 18:38,The Marcus King Band,Where I'm Headed,530,1
2125,2022-04-21 18:38,The Marcus King Band,Welcome ’Round Here,1040,1
2126,2022-04-21 18:38,The Marcus King Band,Homesick,4100,1
2127,2022-04-21 18:39,The Marcus King Band,Ain’t Nothin’ Wrong With That,76120,1
2128,2022-04-21 22:35,The Dip,Atlas,227704,1
2129,2022-04-21 22:38,Leon Bridges,Coming Home,206201,1
2130,2022-04-21 22:48,Lake Street Dive,Better Than,61051,1
2131,2022-04-22 22:21,The Dip,Atlas,227704,1
2132,2022-04-22 22:25,Leon Bridges,Coming Home,206201,1
2133,2022-04-22 22:28,The Dip,Adeline,212518,1
2134,2022-04-22 22:32,Lake Street Dive,Better Than,215694,1
2135,2022-04-22 22:33,The Marcus King Band,Rita Is Gone,88055,1
2136,2022-04-22 22:37,Eagles,Desperado - 2013 Remaster,213718,1
2137,2022-04-22 22:41,Eagles,Peaceful Easy Feeling - 2013 Remaster,257777,1
2138,2022-04-22 22:55,Bonnie Raitt,I Can't Make You Love Me,287750,1
2139,2022-04-23 16:45,Sam Cooke,Nothing Can Change This Love,158198,1
2140,2022-04-23 16:47,Sam Cooke,I'll Come Running Back To You - Single Version With Dubs,133388,1
2141,2022-04-23 16:48,William Bell,I Forgot To Be Your Lover,78504,1
2142,2022-04-23 16:52,Leon Bridges,Coming Home,206387,1
2143,2022-04-23 16:58,The Dip,Adeline,2880,1
2144,2022-04-23 16:58,The Dip,Adeline,166294,1
2145,2022-04-23 17:01,The Dip,Adeline,7100,1
2146,2022-04-23 17:01,Sam Cooke,You Send Me,60,1
2147,2022-04-23 17:01,Sam Cooke,Nothing Can Change This Love,158680,1
2148,2022-04-23 17:03,Aaron Neville,Tell It Like It Is,133440,1
2149,2022-04-23 17:06,Donny Hathaway,Jealous Guy - Live,164320,1
2150,2022-04-23 17:06,Dinah Washington,After You've Gone,2310,1
2151,2022-04-23 17:08,Bonnie Raitt,Thank You - 2008 Remaster,123250,1
2152,2022-04-23 17:12,Etta James,A Sunday Kind Of Love,196133,1
2153,2022-04-23 17:13,Sam Cooke,That's Where It's At,108806,1
2154,2022-04-23 17:14,Patsy Cline,She's Got You - Single Version,12350,1
2155,2022-04-23 17:14,The Miracles,You've Really Got A Hold On Me,4810,1
2156,2022-04-23 17:14,Bobby Womack,Fly Me To The Moon (In Other Words),3360,1
2157,2022-04-23 17:19,Donny Hathaway,A Song for You,325946,1
2158,2022-04-23 17:20,Roberta Flack,Where Is the Love,3250,1
2159,2022-04-23 17:20,Donny Hathaway,Jealous Guy,29943,1
2160,2022-04-23 17:20,Roberta Flack,The Closer I Get to You,7010,1
2161,2022-04-23 17:20,Donny Hathaway,"Love, Love, Love",8720,1
2162,2022-04-23 17:27,Donny Hathaway,The Ghetto,413773,1
2163,2022-04-23 17:27,Roberta Flack,Where Is the Love,8426,1
2164,2022-04-23 17:27,Donny Hathaway,You've Got a Friend - Live,2640,1
2165,2022-04-23 17:32,Donny Hathaway,I Love You More Than You'll Ever Know,320280,1
2166,2022-04-23 17:35,Donny Hathaway,Memory of Our Love,175533,1
2167,2022-04-23 17:38,Donny Hathaway,Giving Up,177546,1
2168,2022-04-23 17:38,Donny Hathaway,Someday We'll All Be Free,2050,1
2169,2022-04-23 17:38,Donny Hathaway,What's Going On - Live,3430,1
2170,2022-04-23 17:39,Donny Hathaway,For All We Know,16830,1
2171,2022-04-23 17:39,Carole King,Bitter With The Sweet,900,1
2172,2022-04-23 17:39,Carole King,Bitter With The Sweet,14460,1
2173,2022-04-23 17:43,Carole King,It's Too Late,233173,1
2174,2022-04-23 17:48,Carole King,You've Got a Friend,308973,1
2175,2022-04-23 17:51,Carole King,I Feel the Earth Move,176413,1
2176,2022-04-23 17:52,Carole King,Where You Lead,30850,1
