,endTime,artistName,trackName,msPlayed,count,artist_id,genres,artist_popularity,followers,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3215,2022-08-07 20:31,Beyoncé,Yoncé - Homecoming Live,28226,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,4rOF3QLIHcKYQ101stNbM8,0.675,0.646,9.0,-12.932,0.0,0.462,0.0751,0.0,0.315,0.42,88.063,68352.0,4.0
3216,2022-08-07 20:34,Beyoncé,ALIEN SUPERSTAR,215150,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,1Hohk6AufHZOrrhMXZppax,0.545,0.641,10.0,-6.398,0.0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,215460.0,4.0
3217,2022-08-07 20:39,Beyoncé,ALIEN SUPERSTAR,215270,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,1Hohk6AufHZOrrhMXZppax,0.545,0.641,10.0,-6.398,0.0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,215460.0,4.0
3218,2022-08-07 20:45,Beyoncé,All Night,321846,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,7oAuqs6akGnPU3Tb00ZmyM,0.574,0.573,11.0,-7.079,1.0,0.085,0.392,2.16e-05,0.0933,0.626,136.304,322000.0,4.0
3219,2022-08-07 20:46,FLO,Cardboard Box - Acoustic,53311,1,0s4kXsjYeH0S1xRyVGN4NO,"['pop', 'post-teen pop', 'r&b']",59.0,103258.0,3k7E83vyhWu7UUl9FxPNRn,0.531,0.354,1.0,-7.385,1.0,0.0686,0.832,0.0,0.168,0.838,160.614,173383.0,4.0
3220,2022-08-07 20:46,Coi Leray,Blick Blick (with Nicki Minaj),8618,1,6AMd49uBDJfhf30Ak2QR5s,"['new jersey underground rap', 'r&b', 'rap', 'trap queen', 'viral rap']",62.0,380973.0,7LczcBaamU9pTkV4Cl9NyX,0.916,0.824,8.0,-4.444,0.0,0.422,0.222,0.00108,0.0661,0.87,139.926,178413.0,4.0
3221,2022-08-07 20:47,Victoria Monét,We Might Even Be Falling In Love (Interlude),51640,1,63XBtGSEZINSyXylZxEUbv,"['alternative r&b', 'indie r&b', 'pop', 'post-teen pop', 'r&b', 'rap']",61.0,595183.0,4rCuwgRRKaIiHlHDc8Bga6,0.768,0.506,6.0,-8.913,1.0,0.165,0.415,0.0376,0.133,0.862,77.1,51914.0,4.0
3222,2022-08-07 20:50,Kelly Rowland,Crazy,184996,1,3AuMNF8rQAKOzjYppFNAoB,"['atl hip hop', 'dance pop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",65.0,3246284.0,1nmypDEMIhxlgvZViMUmoZ,0.734,0.666,8.0,-4.54,1.0,0.0746,0.00427,3.49e-06,0.266,0.492,115.002,185195.0,4.0
3223,2022-08-07 20:51,Beyoncé,Bow Down - Homecoming Live,87570,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,5yZEkyUXbyFCHzrQTH5Ssw,0.395,0.866,1.0,-7.544,1.0,0.128,0.0332,0.0,0.432,0.377,141.577,87887.0,4.0
3224,2022-08-07 20:55,Tems,No Woman No Cry,213684,1,687cZJR45JO7jhk1LHIbgq,"['afro r&b', 'alte', 'nigerian pop', 'r&b']",75.0,822471.0,6jo1FMdBzPKofW4iPIdQkR,0.519,0.181,2.0,-11.845,1.0,0.0317,0.414,0.000327,0.0963,0.155,73.946,213860.0,4.0
3225,2022-08-07 20:58,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),182608,1,5cj0lLjcoR7YOSnhnX0Po5,"['dance pop', 'pop']",86.0,22704047.0,0hquQWY3xvYqN4qtiquniF,0.801,0.601,8.0,-7.574,0.0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,182907.0,4.0
3226,2022-08-07 21:00,SZA,Miles,69468,1,7tYKF4w9nC0nq9CsPZTHyP,"['pop', 'r&b', 'rap']",83.0,8646004.0,4pHy0gmjfpD0Fgond5c4Ta,0.64,0.356,7.0,-11.563,1.0,0.0612,0.965,0.000214,0.109,0.574,122.531,69729.0,5.0
3227,2022-08-10 16:28,Rihanna,Consideration,30128,1,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",88.0,50774378.0,6t90Z9XkdsHD8xMxro6KRP,0.883,0.584,7.0,-2.102,0.0,0.0465,0.0392,4.39e-06,0.0869,0.784,144.975,161067.0,4.0
3228,2022-08-10 16:33,Pinegrove,Aphasia,270002,1,2gbT6GPXMis0OAkZbEQCYB,"['alternative emo', 'indie pop', 'indie rock', 'new jersey indie', 'small room']",52.0,182478.0,4Mve2PSQqMtVn5DemVoBYr,0.309,0.481,6.0,-7.994,1.0,0.0432,0.769,7.37e-06,0.235,0.36,66.793,270933.0,4.0
3229,2022-08-10 16:34,Andy Shauf,I Don't Really,21218,1,5mFKYdmiYwNJTDtSzgFyQx,"['canadian indie folk', 'indie folk', 'indie pop', 'indie rock', 'saskatchewan indie']",49.0,149448.0,3NXZvTvYkp7ZE7A2vHOXlF,0.784,0.104,8.0,-16.585,1.0,0.043,0.735,0.0,0.121,0.28,114.488,133561.0,4.0
3230,2022-08-10 16:34,Pinegrove,Angelina - Audiotree Live Version,86829,1,2gbT6GPXMis0OAkZbEQCYB,"['alternative emo', 'indie pop', 'indie rock', 'new jersey indie', 'small room']",52.0,182478.0,32EAYuoz1uxvwJg0d1322U,0.352,0.742,1.0,-8.182,1.0,0.0338,0.000484,0.0107,0.262,0.51,107.686,86805.0,4.0
3231,2022-08-10 16:37,Pinegrove,"Moment (Amperland, NY)",159360,1,2gbT6GPXMis0OAkZbEQCYB,"['alternative emo', 'indie pop', 'indie rock', 'new jersey indie', 'small room']",52.0,182478.0,6flcZcpGPQfqoRFxoceL9B,0.302,0.64,0.0,-6.945,1.0,0.0326,0.0128,0.00605,0.195,0.311,146.362,159360.0,3.0
